video_id,search_query,title,channel,published_at,views,likes,comments,publish_year,publish_month,title_length,engagement_total,engagement_ratio
WN1FhKMgeLU,cartoon short film,Rain Rain Go Away + More Nursery Rhymes & Kids Songs / Cartoons Nick,Nick,2025-06-30 11:00:57+00:00,83936837,253528,0,2025,6,68,253528,0.0030204616835871477
mslNQske1_k,cartoon short film,Spicy Food Fire Breath | Teen Titans Go! | Watch more on Cartoon Network #Shorts,Cartoon Network UK,2024-08-15 09:00:48+00:00,243672570,2099638,0,2024,8,80,2099638,0.00861663666123766
6LM2Fi2aOTw,cartoon short film,How To Get A FREE CAKE!! 🎂 #shorts #morphle #kids #cartoons Morphle Kids Cartoons,After School Club,2025-05-18 17:00:06+00:00,84997756,484146,0,2025,5,81,484146,0.005695985668139286
HvlUp6FH-Hg,cartoon short film,Bear Fractions | Grizzy & the Lemmings | 30' Compilation | 🐻🐹 Cartoon for Kids,Grizzy & les Lemmings,2026-04-10 10:01:40+00:00,634662,2985,0,2026,4,78,2985,0.004703290885542225
qHg47i4Rp6E,cartoon short film,Punctured Souls 7 😱,thelovelyhorrorshow,2024-09-15 18:18:46+00:00,341892086,2011435,944,2024,9,19,2012379,0.005886006381557484
vWrLiEFNOvc,cartoon short film,#cartoon #animation #shorts #viralvideo,Ai Byte Studio,2026-04-09 19:17:27+00:00,572238,8959,16,2026,4,39,8975,0.01568403356645312
1dICDTtQ4J0,cartoon short film,Kids Learn Brush Your Teeth ( Gorilla ) | Dentist Song | Baby Cartoon Kids Song #shorts #kidssongs,LaLa Leo - Jugnu Kids Nursery Rhymes Songs,2026-04-10 05:00:03+00:00,849271,8158,0,2026,4,98,8158,0.009605885518285683
uNE_pJcy3uE,cartoon short film,Life Doodles | Sausage is cut into ice creams #lifedoodles #shorts #animation #cartoon,Life Doodles short,2025-05-13 10:01:33+00:00,122645862,658795,412,2025,5,86,659207,0.005374881706159805
GzU9xWnZ7hg,cartoon short film,Wheels on the Car Broke Down! Nursery Rhymes Children Songs Koka TV #childrensongs #toddlersongs,Koka TV Nursery Rhymes,2025-07-27 13:00:34+00:00,383308120,2017131,0,2025,7,96,2017131,0.0052624269999811115
X9cdEv0iWJ0,cartoon short film,Let’s Help Each Other Everywhere + Apple & Bananas | Baby Cartoon Nursery Rhymes #Shorts #kidssongs,Jugnu Kids PlayTime - Nursery Rhymes & kids songs,2025-09-02 05:00:29+00:00,78616701,576637,0,2025,9,99,576637,0.007334790097590078
